"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
26,123,3.95934959349594,0.813798762571527,4,4.01010101010101,1.4826,2,5,3,-0.469722283192674,-0.272630253796535,0.0733777632940677
27,123,3.83739837398374,0.717166370023314,4,3.82828282828283,0,1,5,4,-0.415750933225369,0.924441461689431,0.064664713885469
28,123,3.80487804878049,0.911300067417341,4,3.87878787878788,1.4826,2,5,3,-0.384357425987464,-0.657056680379777,0.08216915988606
29,123,1.75609756097561,0.943845147540096,2,1.58585858585859,1.4826,1,5,4,1.36634913157018,1.53458268521687,0.0851036509365107
30,123,3.16260162601626,1.08169557048665,3,3.15151515151515,1.4826,1,5,4,0.0246542287723098,-0.643776049065722,0.0975332049862082
31,123,3.34959349593496,0.983334406349869,3,3.34343434343434,1.4826,1,5,4,-0.170815451434885,-0.59490529451774,0.0886642774929402
32,123,3.61788617886179,1.18404921532663,4,3.74747474747475,1.4826,1,5,4,-0.764355336400005,-0.261769133697849,0.106762122341182
33,123,3.77235772357724,0.837766430633512,4,3.81818181818182,1.4826,2,5,3,-0.388159603100623,-0.367788857112924,0.0755388551445957
34,123,3.61788617886179,1.02044931604205,4,3.68686868686869,1.4826,1,5,4,-0.570044837956696,-0.201825875970479,0.0920108161992267
35,123,4.17886178861789,0.665699685222226,4,4.23232323232323,0,2,5,3,-0.377949889659972,-0.130763253183569,0.060024119197255
36,123,4.0650406504065,0.807138615254926,4,4.13131313131313,1.4826,2,5,3,-0.580455252010818,-0.169764584834908,0.0727772380342886
37,123,4.26829268292683,0.666200023274989,4,4.34343434343434,0,2,5,3,-0.521243672895007,-0.0562859182155933,0.0600692331601794
38,123,3.65040650406504,0.896109440013853,4,3.6969696969697,1.4826,1,5,4,-0.418017110574675,-0.281859500358008,0.0807994671399328
39,123,3.19512195121951,1.14990047028574,3,3.21212121212121,1.4826,1,5,4,-0.188982066099357,-0.93280950706826,0.103683033694646
40,123,3.76422764227642,0.941583082819882,4,3.82828282828283,1.4826,2,5,3,-0.39816057857894,-0.724589349498333,0.0848996874295237
41,123,4.05691056910569,0.842525604107022,4,4.15151515151515,1.4826,2,5,3,-0.75865526567133,0.130467739200813,0.0759679753653136
42,123,4.17886178861789,0.859207796821052,4,4.3030303030303,1.4826,1,5,4,-1.11551705239469,1.21951146125671,0.0774721580263047
43,123,4.30894308943089,0.736964101499234,4,4.39393939393939,1.4826,2,5,3,-0.671089044535632,-0.470852155161647,0.0664498152161827
44,123,4.14634146341463,0.796333059381195,4,4.24242424242424,1.4826,2,5,3,-0.842821257175927,0.490396788799755,0.0718029338725841
45,123,4.21951219512195,0.741471569222188,4,4.31313131313131,0,2,5,3,-0.847042849033147,0.728422986527436,0.0668562398936858
46,123,3.78861788617886,1.00206371087924,4,3.87878787878788,1.4826,1,5,4,-0.542591150312675,-0.370293701495699,0.0903530420101974
47,123,4.03252032520325,0.886464328515841,4,4.14141414141414,1.4826,1,5,4,-0.902844427235939,0.600265693117831,0.0799297967238589
48,123,3.47967479674797,0.917494749133453,4,3.51515151515152,0,1,5,4,-0.572239888958319,-0.349563232834659,0.0827277155260448
49,123,3.08943089430894,1.10889200409356,3,3.06060606060606,1.4826,1,5,4,0.0755074402001385,-0.896188588912247,0.0999854248216679
50,123,2.98373983739837,0.983334406349869,3,2.96969696969697,1.4826,1,5,4,0.0834104063862872,-0.822258392573646,0.0886642774929402
51,123,2.69105691056911,1.10238252636712,3,2.6969696969697,1.4826,1,5,4,0.00630419624119212,-0.934163587234342,0.0993984849813204
52,123,3.30081300813008,0.999466737730377,3,3.32323232323232,1.4826,1,5,4,-0.377255595118817,-0.347432014242301,0.0901188808271599
53,123,3.69105691056911,0.984553500372273,4,3.77777777777778,1.4826,1,5,4,-0.739140323631092,0.235414414209692,0.0887741994991209
54,123,3.64227642276423,0.91553156915078,4,3.65656565656566,1.4826,1,5,4,-0.00664134801740744,-0.63270922925661,0.0825507015482684
55,123,2.88617886178862,0.888941643998502,3,2.91919191919192,1.4826,1,5,4,-0.195589114855339,-0.0472362027716073,0.0801531687384796
56,123,3.65040650406504,0.858742311750235,4,3.68686868686869,1.4826,2,5,3,-0.197562799969004,-0.612903177207961,0.07743018665093
57,123,3.8130081300813,0.803165800574233,4,3.80808080808081,1.4826,2,5,3,-0.0321287906356161,-0.795999119612857,0.0724190213981144
58,123,4.26829268292683,0.678392153281969,4,4.33333333333333,1.4826,3,5,2,-0.379317231752862,-0.860137934135456,0.0611685605011005
59,123,4.17886178861789,0.768568184685997,4,4.24242424242424,1.4826,2,5,3,-0.526009898719863,-0.505541125619223,0.0692994594302834
60,123,4.22764227642276,0.837766430633512,4,4.34343434343434,1.4826,2,5,3,-0.939226477324924,0.282731020527627,0.0755388551445957
61,123,4.26016260162602,0.777104739801968,4,4.35353535353535,1.4826,2,5,3,-0.7911703167665,0.010530878769726,0.070069174683557
62,123,3.33333333333333,1.14280835180784,3,3.36363636363636,1.4826,1,5,4,-0.146469611044281,-0.802105443543536,0.103043558906946
63,123,3.9349593495935,0.955912038946499,4,4.02020202020202,1.4826,2,5,3,-0.43014502037787,-0.885668006670649,0.086191685893109
64,123,4.33333333333333,0.742908182958036,4,4.43434343434343,1.4826,2,5,3,-0.850421551714381,0.0901497780785068,0.0669857749919218
65,123,3.80487804878049,0.87458221019127,4,3.85858585858586,1.4826,1,5,4,-0.49174091534028,-0.0411773750870181,0.0788584221949798
66,123,3.91869918699187,0.988404045070036,4,4.04040404040404,1.4826,1,5,4,-0.849233502812485,0.155773369582221,0.0891213914222111
67,123,3.91056910569106,1.06361685818011,4,4.06060606060606,1.4826,1,5,4,-0.958672882112596,0.41526729983951,0.0959031023941383
68,123,4.1869918699187,0.899449681439466,4,4.29292929292929,1.4826,1,5,4,-0.906923813438184,0.265178682748149,0.0811006465665262
